review_text,review_rating
"Awal potong disini pelayanan masih bagus. Mungkin karena pas pandemi juga ya, jadi yang potong rambut ga antri. Tapi beberapa hari lalu pas mau potong rambut, resepsionis bilang masih antri 4 orang. Saya tanya kira-kira berapa jam lagi, katanya 1 jam. Akhirnya setelah menulis di list reservasi, saya bilang ke resepsionis bahwa saya keluar dulu untuk makan siang dan sholat. Satu jam kemudian saya balik lagi, barber sedang menangani customer lain dan bilang giliran saya setelah customer tersebut. Tapi setengah jam lebih kemudian, setelah customer tersebut selesai, barber keluar. Saya pikir mungkin istirahat sebentar atau apa. Tapi kok pas balik lagi, dia malah menangani customer lain. Saya tanya resepsionis kok bukan saya yang dipanggil, dia hanya maaf maaf saja tapi tidak memberi solusi. Barber lainnya juga sangat lama menangani customer. Waktu saya datang, potongannya masih setengah jalan, tapi hampir satu jam saya nunggu disitu, dia belum selesai juga motong rambutnya. Entah sebenarnya standar potong rambut premium itu berapa jam ya? Akhirnya karena kelamaan nunggu dan ga jelas kapan akan ditangani, saya keluar saja lah. Ga jadi potong rambut.",1
"Barber yang paling ga worth it yang pernah saya temui. Harga potongan 50ribu tapi dari segi pelayanan tidak menunjukkan bahwa barber ini 'premium', padahal judul layanannya aja 'premium haircut'. Dari segi pelayanan kurang memuaskan, krn setelah receptionist memanggil nama tidak langsung mengarahkan kustomer ke tempat potong yang ada, sehingga sempat salah duduk. Terus dari segi kualitas potongan juga tidak sesuai ekpektasi, saya minta agar dipotong sedikit lebih pendek ternyata malah dibuat cukup pendek. Sehingga dari segi kualitas saya anggap kurang dan kurang memuaskan. Barberman juga seperti keburu istirahat dan cukup grusa grusu, dan kurang melayani kustomer dengan sepenuh hati. Dari segi fasilitas juga timpang dari barber yang harganya lebih murah, karena tidak mendapatkan layanan handuk panas dan pijat seusai keramas. Tempat cuci rambut juga sangat sempit dan tidak memungkinkan dalam posisi tiduran (sleeper). Saran pada pengelola agar perbaiki layanan serta kualitasnya. Sebagai kustomer saya merasa tidak puas dan menganggap harga tidak sesuai dengan layanan yang diberikan.",1
"Tempat potong rambut yang cukup oke dengan harga terjangkau dan lokasi strategis di tengah-tengah kota Malang. Pelayanannya baik dan ramah, begitu masuk akan langsung dilayani oleh petugasnya. Setelah mendapatkan nomor antrean menunggu sebentar dan bisa langsung eksekusi hehe. Ketika mengantre tidak begitu lama, tergantung ramai atau tidaknya. Tukang cukurnya berpengalaman dan bisa diajak diskusi. Biasanya juga akan disarankan potongan rambut bagaimana yang sesuai untuk kita. Setelah potong rambut kita akan mendapat pelayanan cuci rambut (keramas) dan langsung dikeringkan saat itu juga. Kisaran harganya: 50K - 80K (standar barbershop)",5
"Antrian ga fair, sering kesela sama orang2 yg baru datang. Alasannya sdh reservasi. Seharusnya kl sdh reservasi, namanya sudah terdaftar. Hair styles 3 antrian 7 orang, nunggu 1.5 jam belum dipotong juga, alasan ada yg sdh reservasi diluar antrian. Mbaknya yg di resepsionis juga kurang ramah, hari minggu tgl 8 Mei 2022 sore, diajak ngobrol juga ga kontak mata. Tolong diperbaiki shg bisa lebih profesional.",2
"Enak potongan di tukang pangkas rambut di desa aja toh hasilnya juga sama cuma 10rb, kalau potongan harga 50rb , aw mahal",1
"Pengalaman cukur gundul disini, request kerok pake silet agar licin kulit. Hasil kurang memuaskan, dikerok pake silet tanpa menggunakan foam dan hasilnya tidak rapi",3
Mampir di bisnis teman. Sebuah unit usaha yang cukup menarik. Sambil mampir sambil merapikan rambut. Tempatnya yang sangat strategis dan mudah di jangkau. Pelayanan nya cukup bagus. Tempatnya bersih dan tertata rapi. Terdapat 5 kursi untuk eksekusi rambut anda. Dan 1 tempat untuk cuci rambut. Ada juga tempat untuk menunggu. Maklum setiap hari harus antri jika potong rambut,5
"Ruang tunggunya nyaman, suami nyoba potong dengan style sesuai yang direkomendasikan dan hasilnya cocok, bakal jadi langganan suami potong rambut disini",5
"Kalo udah tutup, ganti dong jam di google maps-nya, biar oke gitu boss",2
"Salah satu barbershop yang recommended, selain hasil potongan yang bagus barber ini juga memiliki banyak cabang, pelayanan ramah dan bisa konsultasi model potongan yang di inginkan, harga menurut saya sebanding dengan hasil, terdapat pula tempat keramas dan pijat kepala untuk beberapa saat. Tempatnya pun bersih dan unik memiliki ciri khas. Hanya saja menurut saya tempat parkir nya agak kecil.",4
Capster nya ga ramah kasar hasil potongannya kurang bagus,1
"waktu kesini ndak nulis daftar nama dan ndak diingatkan oleh resepsionis alhasil antrian yang baru aja masuk bisa lebih dulu dilayanin padahal harusnya bisa mengoreksi daftar hadir dan menyesuaikan siapa yang hadir terlebih dahulu, apa lagi sudah nunggu 1 jam. yang disayangkan juga dari crew malah menyalahkan customer yang tidak tau aturan main mereka. Semoga bisa jadi koreksi untuk lebih care lagi ke customers.",2
Mampir di bisnis teman. Sebuah unit usaha yang cukup menarik. Sambil mampir sambil merapikan rambut. Tempatnya yang sangat strategis dan mudah di jangkau. Pelayanan nya cukup bagus. Tempatnya bersih dan tertata rapi. Terdapat 5 kursi untuk eksekusi rambut anda. Dan 1 tempat untuk cuci rambut. Ada juga tempat untuk menunggu. Maklum setiap hari harus antri jika potong rambut,5
"Overprice!!, gonta-ganti barberman mulu. Hasil kurang memuaskan padahal udah dikasih contoh, udah dijelasin masih aja kurang sesuai ekspektasi",2
"Barbershop andalan malang kota, saran buat yg mau potong di suhat mending reserv via wa dari pada antri lama.. Klo reserv pasti di duluin tgl kita menentukan mau dtg jam brp",5
"Awalnya oke2 aja, tp masa request comma hair, poni depan saya dipotong pendek (baru sadar di akhir)â€¦ terus habis dikeramasin si barbernya keburu makan siang aja jadi rambut saya ga dirapihin lagi, so bad",2
"Mantap, dari awal2 buka ga pernah nyesel potong disini",5
"tempat nya ga begitu luas tp lumayan, 45 rb sangat murah untuk ukuran barbershop ya, saya rekomen tempat ini",5
"Salah satu barbershop yang recommended, selain hasil potongan yang bagus barber ini juga memiliki banyak cabang, pelayanan ramah dan bisa konsultasi model potongan yang di inginkan, harga menurut saya sebanding dengan hasil, terdapat pula tempat keramas dan pijat kepala untuk beberapa saat. Tempatnya pun bersih dan unik memiliki ciri khas. Hanya saja menurut saya tempat parkir nya agak kecil.",4
Pengalaman potong disini paling buruk,1
Tempat pangkas rambut yang sangat rekomen. Pelayanan sangat ramah,5
"Antrinya lama,di dalem keliatan gak bnyak yg antri ternyata ditinggal keluar,brati bagus kalo banyak yg potong dsini.",3
"Mantap, dari awal2 buka ga pernah nyesel potong disini",5
"Mungkin jika dibandingkan barbershop pada umumnya dengan di Jakarta, tidak ada servis pijit kepala n pundak",4
"maaf banget, lebih dengerin pelanggannya minta apa ya.",1
Tempat nyaman banget dan jadi langganan pacarku ğŸ’•ğŸ’•,5
"Langganan sejak kakak dan adik masih SD, dan sekarang sudah kuliah... Kualitas bagus, barber perhatian dan suka bercerita. Sudah mencoba di lokasi ini dan beberapa lokasi lainnya. Mau potong rambut ya disini.....",5
Bagus dan puas bgt cuma satu kasih training lagi tuh kasirnya gmn cara menerima tamu dan pelanggan....,5
"good quality barbers, friendly service too.. you guys solud come here tapi haircut di barbershop tanpa di pijit itu kekmana ya aneh bgt ğŸ˜ƒ",4
Jangan ragu.. Pelayanan mantap hasil memuaskan barbermen nya sopan2,5
Bagus rapi potongannya... 50k yaa,5
"Teralu buru2 motongnya, samping rambut ga di kerik rapih, barbermen ga serius banyak ngobrol sama temen nya Harga 50.000",2
"Baru pertama kali nyoba , pelayanan baik mas nya humoris , potong sama mas Jodi recommended pokoknya",5
Mungkin harganya tergolong mahal untuk ukuran barber shop. Tapi sebanding dengan pengalaman yang anda dapatkan. Barbernya tampil modis dengan kemeja putih dan dasi. Skillnya mantab dan halus. Punya wawasan yang bagus untuk berbagai jenis rambut. Lokasinya juga sangat keren dan gaul. Ada musiknya dan ruang tunggu yang nyaman. Anda akan mendampat pijatan setelah potong rambut. Beberapa point negatifnya jgn mau dilayani resepsionisnya yang cewek untuk servis seperti keramas dan pijat. Beda bgt rasanya. Hanya melayani laki2,5
"Cukup worth it dengan harganya, tempat, pelayanan bagus, overall puas cukur disini, pelayanannya ditingkatkan lagi yaa",5
"KECEWA DATENG JAM 7 KATANYA DAH TUTUP, ASTAGA",1
"recommend banget, hasil fade nya gaada obat. Pelayanan cepat, mending reservasi dulu biar gak lama antri",5
"Sistem reservasi perlu perbaikan. Saya datang jam 11 siang ada antrian 10 orang, akhirnya memutuskan untuk reservasi di sore hari jam stgh 5. Saya datang jam 4 lebih sedikit, diminta tunggu sebentar tp akhirnya dipanggil jam 6 lebih. 2 jam menunggu, saya rasa percuma tadi siang saya buat reservasi. Mohon diperhatikan untuk kemajuan Richdjoe Barbershops. Terima kasih.",2
Nyaman pol tempatnyaaaa,5
"pelayanannya cukup baik, tempatnya bersih jadi pelanggan nyaman, tukang potong nya juga ramah hehe",5
Pelayanannya sedikit menurun dibanding beberapa tahun lalu,4
"Baru pertama kali kesini, ngantri satu orang. Desain tempatnya unik dan lucu. Melihat sekilas, ini seperti tempat potong rambut buat cowok yang di mode entertainment. Ruang tunggunya nyaman dan adem meskipun tempat diluar cukup panas. Sayang di ruang tunggu tak banyak hal yang bisa dilakukan, selain main hp karena pihak manajemen tidak menyediakan fasilitas agar tidak bosan menunggu. Buku buku untuk dibaca misalnya. Hanya ada satu TV di sudut ruangan dan suara musik.",3
"Tempat untuk potong rambut. Tempatnya cozy sih tapi kuramg terawat. Yang motong juga enak gak bikin sakit tapi kalau pribadi gak enak di akhirnya aja. Nanti yang kesana bakal ngerasaain deh, satu hal yang memurutku itu gak harus ada. Kalau masalah harga diatas 40k baru bisa potong biasa tanpa keramasan. Yang motong bagus aja kok, cuma kayaknya waktu itu kurang pas aja sama pribadi",3
"Well, banyak sekali barber shop di kota Malang dengan beraneka ragam model dan opsi budget yg menyesuaikan kantong, saya pribadi merekomendasikan tempat ini karena layanan yg cepat dengan barber man yg banyak dan sudah berpengalaman, sehingga setelah keluar dari tempat ini, terasa sekali tingkat kegantengan bertambah 100 % hahahaha. Disarankan sudah memiliki pilihan model utk diwujudkan dlm model rambut yg anda inginkan, tersedia juga mesin edc merchant BCA sehingga tdk perlu kerepotan apabila tdk membawa sejumlah uang tunai.",5
Enak mantap pas,5
Cukuran nya bagus dan rapi dan pegawai nya semua ramahâ€ guys recomend pokoknya untuk yg di daerah malang khususnya suhatğŸ‘ğŸ»,5
Langganan sama mas jody ğŸ‘ğŸ»,5
Barbermannya profesional semua..bisa kasih masukan yg tepat buat cust,5
Barbershop rekomen buat di malang,5
Hasil potongnya cukup bagus. ruang tunggunya bagus dan nyediain wifi sama minuman. Kalo mau kesini kadang antrian agak panjang. Kalo mau bawa mobil agak sulit cari parkirnya disini.,4
"Mantap,recomended potong disini.dijamin gantengnya nambah 50persen:)",5
"Udah dari kuliah semester 4 sampe sekarang udah kerja langganan potong di richdjoe nih, potongan nya rapih ga mahal"" pula, cuman dari setiap kali potong mas"" yang potong ganti ganti mulu. Overall sih good wkwwjw",5
"Servis enak, banyak dan harga yg bisa dibilang lebih murah dari pesaing yg lain",5
"potongannya kurang varian sih ya. harusnya sering"" update model rambut sm bisa bedain tipe"" rambut. ruang tunggunya kurang luas + pegawainya kurang ramah. tapi harganya terjangkau sih jd lumayan lah",3
Kenyamanan bagus. Untuk antrian standart barbershop. Pemotong rambut komunikatif. Gampang dijangkau kendaraan.,4
enak pake antrian yg teratur,5
Bersih... Pelayanannya ramah.. hasil potongannya memuaskan... Keren pokoknya,5
"Udah beda sm richdjoe yg dulu, skrg paling cmn 1-2 org barber aja yg bener2 punya skill yg mumpuni.. Saya sendiri mutusin buat pindah barbershop semenjak barber langganan saya disini udah resign dan buka barbershop sendiri..",2
"Tempatnya nyaman dan kekinian. Hasilnya sangat memuaskan, sangat mengerti trend atau style rambut yang sedang naik daun. Harga berbanding lurus dengan kualitas. Semoga berkembang dan maju terus",5
"Sudah langganan disini, hasilnya cakep, ga terlalu mahal juga harganya, 50k sudah dapat premium cut..",5
Langgangan kalo potonga rambut di malang. Barbernya bagus dan ramah. harga bersahabat dalet kopi pula hehe,5
Jam operasional nya salah itu . Jam 9 masih tutup .buka nya jam 10 ready potong set 11 . Kalo malam jam 8 sudah gabisa potong,1
"Tempatnya nyaman, pelayanan cepat dan ramah, dan hasilnya pasti oke",5
"Tempatnyaa nyaman bersih dan pelayanannya bagus bangetttt , makasii richdjoeğŸ–¤ğŸ–¤",5
"Sorry to say, tempatnya emg bagus dan cozy tapi sayang hasil potongannya kurang memuaskan jadinya gak sesuai sama harganya yg relatif mahal.",1
"Karyawan yang kerja disini kurang ramah dan kurang membawa respon yang baik untuk pelanggan meskipun tempatnya ramai..potongannya cenderung kurang bagus.. Kalo nggambar rambut jangan disini, asal asalan stylish nya",3
Tempatnya nyaman. Barbernya tau klo kita mau potong yg sesuai yg kita mau.,5
"Barber atas nama mas poneri potongannya sangat bagus, tempatnya nyamanğŸ˜",5
"Bagus dan rapi, cuma lebih diperbaiki pas keramasnya aja sih. Selalu aja masih banyak sisa rambut nempel, jd gatal.",4
"Pelayanan cepat dan ramah, hasil potongan menambah ketampanan saya",5
"Pelayanan cepat dan bagus, tempatnya nyaman, sip, pertahankan",4
Tempat rekomendasi buat potong rambut cowok kekinian. Hasilnya memuaskan dengan Harga yg sebanding,5
"barber tergokssss... mantep pelayanannya ramah, tempatnya nyaman lagunya syahduuuu..",5
"Harga sebanding dengan kualitas, tempat juga nyaman",5
Suka bgt sama style rambut cowok aku .. Bakal balik kesitu lgi deh,5
barber dengan pelayanan yg ramah dan hasil nya sangat memuaskan,5
"Barbershop asik, tenang ga ribet",5
Muwantap pokoknya. Tempatnya mojok kecil tapi cozy. Masnya juga enak di ajak ngobrol.,5
"Barbernya sama cashier nya Ramah bgt, tempatnya aman tentram",5
"tempatnya bersih, hasil potongnya bagus",5
"Mantafp banget.....pas pertama kali kesana, bingung mau potong model apa, barbernya ngasih saran model apa yg cocok...",5
"dengan 50K udah dapet premium haircut, hasilnya lumayan",4
Pelayanan nya bagus tp harganya agak mahal ğŸ™,4
"Tidak worth it sama sekali, apalagi yang di sigura-gura, tida profesional",1
Kualitas barberman nya oke punya. Improvisasi nya juga keren.,5
"Pelayanan cepet,, model sesuai keinginan cust tempat nyaman dan harga terjangkau",4
Kadang suka rame. Kalo mau mending book dulu kalo mau pangkas disini,5
Tempat yang nyaman untuk merapikan rambut dan pelayanan yang bagus dan tertata rapih.,5
"Saya lebih nyaman potong rambut dsini, harga standart pelayanan memuaskan",4
"Hasil cukur cukup bagus, cuman treatment setelah nya kayak handuk hangat + pijatannya kurang",3
"Tempat nyaman, Dingin dan pelayanan barbernya memuaskan",5
Ad beberpa pegawaix cara guntingx kurang bgus cara guntingx kya Madura klo cara guntingx cmn kya gitu mndingan ke  tukang gnting Madura aj,1
"Mantap banget pelayanannya, maksimal hasilnya",4
"Tempat tunggunya nyaman, staffnya ramah",5
Pelayananya lumayan bagus.ramah semua,5
"sangat tidak memuaskan, menunggunya lama, potongannya pun tidak memuaskan, mending di barbershop sebelah, lebih murah,ramah,hasil memuaskan",1
Oke tempatnya,3
Karyawannya ramah2,5
Resepsionist nggak ada yang ramah wajahnya kurang senyum agak cuek gtu,1
"Pelayanan nya bagus, hasilnya juga bagus, recommend",5
Hasilnya sesuai ekspektasi saya..price bersaing..antri nya yg lama,5
"Nunggu suami potong rambut selalu nyaman, interior bagus, barber nya ramah ramah",5
"Tempatnya nyaman, wifi kenceng, barbermannya ramah dan funny, harga cukup bersahabat",5
"Tempat nyaman dan karyawanya profesional, harga lumayan beratğŸ˜„ğŸ˜„",4
"Tempatnya cozy, sejuk, potongannya oke..",5
harga cukur anak mahal... pengerjaan cukup lama untuk anak kecil... hasil cukur oke,4
Pelayanan cepet..hasilnya juga rapi n bgs,5
Barber nya cuma 1 di pagi hari. Udah mulai tidak sebanyak dulu,3
Tempat nyaman... bisa reservasi dulu,5
dabest pokoknya gak nyesel deh potong disini,5
"mantab, rambut saya jadi semriwing semriwing aw.",5
"sebulan sekali kesini, barbermannya ramah, udah paling cocok dah hehe",5
Hasil Potong Rambut disini memuaskan...tempat nyaman....,5
"Tempat potong favorit, buat yg pengen tambah ganteng disini tempat yang pas",5
"Tempat & Pelayanan nya keren, Barber a.n Nasik recommended dicoba.",5
Seketika menjadi tampan dan berani,5
"Capster nya ramah, tempatnya cozy lah dan hasilnya tidak mengecewakan",5
Mantab,5
Bagus hasilnya. Anak sy suka potong rambut di situ.,4
Pelayanan nya ramah dan cepat ğŸ‘ğŸ‘,5
nyamann sekali tempatnyaağŸ¥°,5
"Buat pelajar rekomen nih, cari yang murah tapi hasil maksimal:)",5
Responsif,4
"Hasil potong yang rapi dan sesuai keinginan, pelayanan ramah, tempat bersih",4
potongannya bagus dan barber nya ramah2,4
the best lah pokok nya pelayanan ajib,5
"Jika beruntung, Anda bisa mendapatkan tukang cukur yang baik.",3
"Untuk tempat terlalu kecil, pelayanan standard....",3
ah mantap,5
Thanks. Pelayanan mantap ğŸ‘ğŸ»,5
"Tempat potong rambut yang nyaman dan bagus  , pelayanan juga baik.",5
"Harga rata* 35rb.. lumayan, sepadan dengan kepuasannya",5
Wah Bagus sekali,5
"Support barberny bagus, rekomendasi potongan dengan bentuk wajah juga bagus, rekomended",4
Tempatnya asik dan untuk barber shopnya bagus,4
Rasanya seperti anda menjadi Ironmen,5
Gak ada yg ramah resepsionis nya....,1
"Saya sarankan untuk reservasi dahulu, daripada ngantri lama",5
Recomended buat potongan rambut yang terupdate,5
Harus menulis nama yang jelas biar gak salah panggil,3
Barberman nya sangat ramah dan tempat nyaman ...,5
"sesuai sama harga, danjuga pelayanan baik",5
"Cuma nganter aja,biasanya antrian lumayan panjang.",3
Nice barbershop ini malang. This the recommended one,4
Antrian dan sistem reservasi harus  diperhatikan,2
Pelayanan santai dan nyaman,5
Potongan sesuai harapan. Walau kadang gak sesuai harapan.,5
"Tempat nya dingin, ramah good lah",5
Gak pernah kecewa kalo ke richdjoeğŸ™‚ğŸ™‚ğŸ™‚,5
Tempat sangat nyaman.,5
"Tempatnya nyaman, wifi kenceng, barbermannya ramah dan funny, harga cukup bersahabat",5
Gak pernah kecewa kalo ke richdjoeğŸ™‚ğŸ™‚ğŸ™‚,5
Ramah ramah,5
Nice barbershop ini malang. This the recommended one,4
Potongannya apik,5
Tempat Pangkas Rambut yg oke punya,5
"Support barberny bagus, rekomendasi potongan dengan bentuk wajah juga bagus, rekomended",4
Tempatnya asik dan untuk barber shopnya bagus,4
Oke punya...suasana nyaman,5
"Harga rata* 35rb.. lumayan, sepadan dengan kepuasannya",5
Hasil cukur kurang memuaskan,3
Sebulan sekali pasti potong rambut disini,4
"Pelayanan nyaman, tempatnya mewah",5
Hair stylist nya berpengalaman,4
Tukang cukur nya payah,1
Barbershop yang enak. Potongannya pun bagus,5
Oke punya...suasana nyaman,5
tempat e nyaman,5
Harga relatif mahal,3
Tempat favorit pangkas rambut,5
Bersih dan nyaman,5
"Tempatnya OK,  suasana nyaman",5
Pelayanan terbaik,5
Hasil sangat memuaskan,5
Pelayanan baik dan baguss,4
"Potongannya bagus, memuaskan",4
Untuk harga segitu lumayan lah,4
Cuma bagus tempatnya aja,2
Rapi bersih,4
"sesuai dengan permintaan saya, mantaaaaaap",5
Puas sm hasil cukurannya,4
Favorit pacar aku,5
Bagus berpengalaman,5
mantap,5
Ramah terampil harga bersaing,5
Tempat yg nyaman,5
"Pelayanan bagus, suka",5
Biasanya antri lumayan lama,4
Potongannya cakep,5
Mantap. Langganan,5
Tempatnya nyaman,4
Harga bersaing...,4
Terima kasih ğŸ¤©,5
Mahal dan bagus,5
Potongannya keren,5
terbaiklah,5
Di pojokan jl.  Coklat no 1,4
Potonganya cocok,4
Ngga pernah kesini,2
Recommend buat potong rambut,5
Hasil cuttingnya bagus,3
Potongannya apik,5
Kurang oke potongannya,3
Ga sesuai ekspektasi,2
Tempat yang keren dan nyaman,5
luar biasa potongnya,5
Nyaman bagus,5
Mantap,5
Kurang detail broğŸ˜¬,5
Oke,5
Rekomended,5
Cuma sayang agak mahal,5
Ada wifinya,5
Kece!!!,5
Langganan,5
rapi,5
Cuma lewat,3
Bisa booking,4
Ramah ramah,5
Suasana nyaman,4
Nyaman,4
Oke,4
Mantap,5
Top sekalii,5
Kurang skill,1
Mantap,5
Salah satu barbershop favorit saya di sekitar malang. Sebagian besar karena lokasi dan harga. Mereka menawarkan potongan rambut yang layak dengan harga yang bagus. Direkomendasikan!,5
"Pangkas pertama yang saya dipercaya untuk mendapatkan potongan rambut di Kota Malang setelah pindah ke luar negeri dari Sumatera, dan hasilnya adalah awesome! Brian, sebagai tukang cukur saya pada saat pemotongan, ramah dan keterampilan belum knowledgeful. Bahkan Dia dan aku punya waktu untuk berbicara tentang jalan masa lalu dan harapan dalam dunia potong rambut. Untuk hal-hal lain seperti fasilitas ruangan sistem antrian dan menunggu, pangkas ini moderat seperti barbershop pada umumnya dengan sistem antrian panggilan berdasarkan jumlah antrian dan ruang tunggu yang dilengkapi dengan sofa, AC, dan tempat penyimpanan. Secara keseluruhan, 5/5 untuk barbershop ini. Aku akan datang kembali ke sini.",5
"Tempat ini memiliki tukang cukur yang cukup bagus, tetapi mungkin kebersihan dan layanan harus ditingkatkan karena harganya sedikit mahal dari sebelumnya. Semoga bisa lebih baik.",4
Toko tukang cukur yang bagus di malang suhat,3
Richdjoe Barbershop benar-benar LUAR BIASA! Saya telah menjadi pelanggan setia mereka selama hampir tiga tahun sekarang. Kualitas potongannya berbeda dengan barbershop lain di Malang.,5
"Saat mereka membuka toko pertama, semuanya sempurna. Staf sangat ingin memberikan layanan terbaik, bahkan mereka dapat memberikan banyak saran bagus yang sesuai dengan wajah Anda. Saya tidak punya keluhan saat itu, setelah beberapa kali menggunakan layanan mereka. Saya menyadari bahwa mereka tidak sebaik saat pertama kali saya datang. Sekarang mereka lebih memilih kuantitas daripada kualitas. Tidak layak sama sekali pada kisaran 45k.",2
"Sebenarnya, barbershop ini adalah pelopor di Malang. Saya datang ke sini, secara rutin sebulan sekali atau sekali dalam dua bulan. Sayangnya, saya bisa mengatakan bahwa pangkas ini agak payah. Karena mereka menawarkan lebih banyak biaya tetapi kurang dalam kualitas. Yang mereka dapatkan hanyalah harga tinggi tetapi rendah dalam layanan. Tukang cukur tidak lagi berkualitas.
Kondisinya sangat berbeda ketika pertama kali saya datang ke sini.",2
"Hebat dan harga terjangkau (45K IDR untuk potongan & sampo biasa). Ruang tunggu yang nyaman, desain interior yang bagus, dan staf yang ramah. Pertahankan kerja bagus!",5
Saya memotong rambut saya di sini dengan pelayanan yang baik dan saya mendapatkan hasilnya sesuai harapan saya,5
Pelayanan prima dan potongan rambut bagus,5
Kami akan selalu mencoba yang terbaik untuk Melayani Semua Pria di Malang dengan sangat baik dan menjadi Barbershop Lokal Terbaik Malang di kota ini.,5
Satu-satunya tempat pangkas rambut yang saya kunjungi saat saya membutuhkan potongan rambut yang bagus,4
"Tempat ini terus menjadi lebih baik, saya bahkan tidak perlu menjelaskan bagaimana saya ingin tatanan rambut saya, saat itu saya masih perlu menjelaskan beberapa ini, mengagumkan",5
Layanan hebat. Potongan yang bagus. Masih hanya 45rb untuk dipotong. Bahkan memangkas jenggotku.,5
Satu-satunya barbershop di malang yang bisa menangani dan mengerti dengan model rambut durian saya,5
Bang untuk uang! Kerja bagus,5
Pelayanan bagus tempat bagus hasil potong memuaskan,5
Setimpal,5
"Tolong perbaiki harganya. Staf berbeda, perubahan harga. Tidak cukup jelas untuk apa yang kami bayar",3
Nyaman,5
Tempat pangkas rambut terbaik di kota dengan tukang cukur yang ramah dan harga yang wajar,5
Nilai layanan bagus untuk harganya,4
Yang tajam untuk potong rambut,5
"Pelayanan Cukup Enak&mantab, Fasilitas Wifi Ber AC dan lainnya yg memadai Ada Untuk Pilihan Paket REGULER, PREMIUM, FULL SERVICE .",5
KaRyAwaNyA RaMah Banget....HasiL Potong rambut bener2 SesuAi yg diinginkan Customer...aMat SaNgat PuaS deNgaN HaSiLnYa...BeNeR2 TeLaTeN & ReCoMeNded BanGet...Cuma MinTa ToLoNg uNtuK PaRkiR KeNdaRaAnyA...TeRLaLu SeMpiT,5
"Medium Fade on process, pelayanan ramah, bisa custom sesuai keinginan, bisa memberi saran yg baik untuk rambut konsumen, hasil memuaskan sesuai yg diharapkan ğŸ‘",5
Salah satu barber recommended di malang dengan harga affrodable. Nyaman dengan free WiFi dan AC. Untuk harga start antara 30K,5
"Tempat potong dekat rumah, harganya lumayan, pegawainya lumayan baik hasil potongannya juga rapi, disini bisa cuci rambut juga Setelah cuci biasanya kita dikasih Pomade/vitamin,. tempatnya  biasanya ramai. Cuman tempat parkirnya sempit.",4
Pelayanan ramah dan pastinya hasil sesuai dgn apa yg anda inginkan,5
Tempatnya bagus.. ,5
"Tempat bagus, nyaman, cuma parkir agak terbatas, 30k clean cut termasuk vitamin dan pomade, mas pencukurnya ga tergesa gesa, santai dan mengerti kemauan klien. Cukup berikan contoh foto potongan yang dikehendaki saja beres",5
"Barbershop yg nyaman, full musik, ada 3 tmpat potong... harga 25.000 untuk clean cut. Tersedia pomade juga... parkir standart ruko...",4
"Menurut pengamatan selama Aq nemenin temen yang potong, model potongan sesuai dengan apa yang diinginkan teman ku sama persis tanpa ada kslahan apa2. Dan pelayanannya juga sangat ramah. Dan yang pastinya bagus menurut ku. Dan tempatnya juga enak bagi yang menunggu. ğŸ¤©ğŸ¤©",5
Adek aku selalu potong disini karena masnya sabar kalo sama anak kecil. Dan menurutku tempatnya juga nyaman dan sejuk sih karena disediakan ac juga.....oh iyaa dan pastinya ada wifinya juga,5
Pelayanan ok +hasilnya mantab ğŸ¤,1
"Full ac, ramah dan hasil baguss harga juga murah",5
